Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Education level,Reporting Type,Sex,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,ISO3
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",8,Albania,SECOND,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,,,,,50.81885,,,ALB
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",8,Albania,SECOND,G,MALE,PERCENT,,,,,,,,,,,,,,,,,,,,,55.73248,,,ALB
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",8,Albania,UPPSEC,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,,,,,54.16667,,,ALB
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",8,Albania,UPPSEC,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,,,,,57.00304,,,ALB
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",8,Albania,UPPSEC,G,MALE,PERCENT,,,,,,,,,,,,,,,,,,,,,48.38266,,,ALB
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",12,Algeria,PRIMAR,G,BOTHSEX,PERCENT,94.63773,95.67702,97.12654,97.91976,98.3456,98.52628,99.26722,98.85815,,,,,,,100,100,,,,,,,,DZA
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",12,Algeria,PRIMAR,G,FEMALE,PERCENT,96.6515,97.3095,98.24667,98.78963,99.0579,98.94784,99.59681,98.1627,,,,,,,100,100,,,,,,,,DZA
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",12,Algeria,PRIMAR,G,MALE,PERCENT,92.91404,94.24977,96.09818,97.09641,97.64026,98.09629,98.91706,99.64142,,,,,,,100,100,,,,,,,,DZA
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",20,Andorra,LOWSEC,G,BOTHSEX,PERCENT,,,,,,,100,,,100,100,100,100,,,,,,,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",20,Andorra,LOWSEC,G,FEMALE,PERCENT,,,,,,,100,,,100,100,100,100,,,,,,,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",20,Andorra,LOWSEC,G,MALE,PERCENT,,,,,,,100,,,100,100,100,100,,,,,,,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",20,Andorra,PREPRI,G,BOTHSEX,PERCENT,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",20,Andorra,PREPRI,G,FEMALE,PERCENT,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",20,Andorra,PREPRI,G,MALE,PERCENT,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",20,Andorra,PRIMAR,G,BOTHSEX,PERCENT,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",20,Andorra,PRIMAR,G,FEMALE,PERCENT,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",20,Andorra,PRIMAR,G,MALE,PERCENT,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",20,Andorra,SECOND,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",20,Andorra,SECOND,G,FEMALE,PERCENT,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",20,Andorra,SECOND,G,MALE,PERCENT,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",24,Angola,LOWSEC,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,53.52528,,,,,,,,AGO
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",24,Angola,LOWSEC,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,59.43937,,,,,,,,AGO
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",24,Angola,LOWSEC,G,MALE,PERCENT,,,,,,,,,,,,,,,,50.7324,,,,,,,,AGO
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",24,Angola,PREPRI,G,BOTHSEX,PERCENT,,,,,,,,,,,45.14752,44.01397,,,,,,,,,,,,AGO
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",24,Angola,PREPRI,G,FEMALE,PERCENT,,,,,,,,,,,48.08114,46.65795,,,,,,,,,,,,AGO
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",24,Angola,PREPRI,G,MALE,PERCENT,,,,,,,,,,,43.15387,42.21709,,,,,,,,,,,,AGO
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",24,Angola,PRIMAR,G,BOTHSEX,PERCENT,,,,,,,,,,,,47.48642,,,,,,,,,,,,AGO
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",24,Angola,PRIMAR,G,FEMALE,PERCENT,,,,,,,,,,,,51.45182,,,,,,,,,,,,AGO
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",24,Angola,PRIMAR,G,MALE,PERCENT,,,,,,,,,,,,45.1762,,,,,,,,,,,,AGO
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",24,Angola,SECOND,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,51.48986,,,,,,,,AGO
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",24,Angola,SECOND,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,55.68698,,,,,,,,AGO
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",24,Angola,SECOND,G,MALE,PERCENT,,,,,,,,,,,,,,,,49.77476,,,,,,,,AGO
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",24,Angola,UPPSEC,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,46.69124,,,,,,,,AGO
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",24,Angola,UPPSEC,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,42.65764,,,,,,,,AGO
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",24,Angola,UPPSEC,G,MALE,PERCENT,,,,,,,,,,,,,,,,47.8143,,,,,,,,AGO
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",660,Anguilla,LOWSEC,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,66.03774,,,,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",660,Anguilla,PREPRI,G,BOTHSEX,PERCENT,45.45455,54.54545,,55.26316,,48.78049,53.65854,44.73684,41.86047,45.2381,40.90909,74.19355,,39.53488,39.02439,35.71429,,,,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",660,Anguilla,PREPRI,G,FEMALE,PERCENT,45.45455,54.54545,,54.05405,,48.78049,55,44.73684,41.86047,45.2381,40.90909,74.19355,,,,,,,,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",660,Anguilla,PREPRI,G,MALE,PERCENT,0,0,,100,,0,0,0,0,0,0,0,,,,,,,,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",660,Anguilla,PRIMAR,G,BOTHSEX,PERCENT,77.92208,77.21519,73.80952,53.84615,67,68.08511,64.04494,53.60825,57.89474,55.45455,52.67857,71.17117,,,,,,,,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",660,Anguilla,PRIMAR,G,FEMALE,PERCENT,78.26087,77.46479,74.02597,59.03614,70,73.80952,67.46988,55.43478,60.19417,58.25243,54.80769,90.36145,,,,,,,,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",660,Anguilla,PRIMAR,G,MALE,PERCENT,75,75,71.42857,0,40,20,16.66667,20,36.36364,14.28571,25,14.28571,,,,,,,,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",660,Anguilla,SECOND,G,BOTHSEX,PERCENT,,,,,,,60.82474,60.41667,,,,57.25806,,,,,,,,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",660,Anguilla,SECOND,G,FEMALE,PERCENT,,,,,,,59.70149,62.12121,,,,60.71429,,,,,,,,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",660,Anguilla,SECOND,G,MALE,PERCENT,,,,,,,63.33333,56.66667,,,,50,,,,,,,,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",28,Antigua and Barbuda,LOWSEC,G,BOTHSEX,PERCENT,40.65934,,,,,,,,50.43328,38.15789,38.21138,,,,,,,,,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",28,Antigua and Barbuda,LOWSEC,G,FEMALE,PERCENT,32.98969,,,,,,,,51.78571,38.51852,39.92933,,,,,,,,,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",28,Antigua and Barbuda,LOWSEC,G,MALE,PERCENT,59.49367,,,,,,,,47.56757,37.27273,32.55814,,,,,,,,,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",28,Antigua and Barbuda,PREPRI,G,BOTHSEX,PERCENT,45.07576,,,,,,,28.88889,11.96172,,,58.04196,70.96774,,,64.72222,,,78.46154,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",28,Antigua and Barbuda,PREPRI,G,FEMALE,PERCENT,45.07576,,,,,,,28.88889,11.96172,,,58.04196,70.96774,,,64.72222,,,78.46154,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",28,Antigua and Barbuda,PREPRI,G,MALE,PERCENT,0,,,,,,,0,0,,,0,0,,,0,,,,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",28,Antigua and Barbuda,PRIMAR,G,BOTHSEX,PERCENT,46.90647,,,,,,,67.28625,52.88889,57.1223,54.75234,64.83957,60.13245,,70.16807,65.29161,60.9724,55.15152,52.81863,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",28,Antigua and Barbuda,PRIMAR,G,FEMALE,PERCENT,43.69287,,,,,,,67.00201,52.93185,56.66667,54.60993,65.83578,61.78161,,69.28896,66.00306,59.19283,57.1618,54.25532,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",28,Antigua and Barbuda,PRIMAR,G,MALE,PERCENT,58.78378,,,,,,,70.73171,52.27273,65.71429,57.14286,54.54545,40.67797,,81.13208,56,73.91304,33.80282,35.9375,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",28,Antigua and Barbuda,SECOND,G,BOTHSEX,PERCENT,47.20812,,,,,,,,,41.29794,42.93948,47.0255,,,55.19288,46.92202,51.37976,51.16851,47.69231,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",28,Antigua and Barbuda,SECOND,G,FEMALE,PERCENT,41.72662,,,,,,,,,40.64516,43.37349,43.71257,,,53.26531,45.55766,51.77305,51.82724,48.54369,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",28,Antigua and Barbuda,SECOND,G,MALE,PERCENT,60.34483,,,,,,,,,42.723,41.83673,55.12195,,,60.32609,50.49505,50.25381,49.2891,45.37445,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",28,Antigua and Barbuda,UPPSEC,G,BOTHSEX,PERCENT,61.98347,,,,,,,66.73511,,45.30201,48.30769,,,,,,,,,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",28,Antigua and Barbuda,UPPSEC,G,FEMALE,PERCENT,61.90476,,,,,,,68.04734,,43.58974,47.90698,,,,,,,,,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",28,Antigua and Barbuda,UPPSEC,G,MALE,PERCENT,62.16216,,,,,,,63.75839,,48.54369,49.09091,,,,,,,,,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",51,Armenia,LOWSEC,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,,,,73.59894,75.1209,,,ARM
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",51,Armenia,LOWSEC,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,,,,74.74324,76.14586,,,ARM
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",51,Armenia,LOWSEC,G,MALE,PERCENT,,,,,,,,,,,,,,,,,,,,64.53397,66.9088,,,ARM
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",51,Armenia,PREPRI,G,BOTHSEX,PERCENT,,,97.13217,,,,,,,90.4066,87.83784,78.8199,79.67756,79.58123,78.93188,80.00537,80.49198,81.971,,,,,,ARM
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",51,Armenia,PREPRI,G,FEMALE,PERCENT,,,97.35761,,,,,,,90.51465,88.64476,78.7785,,79.58357,78.90706,79.98386,80.49552,81.94319,,,,,,ARM
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",51,Armenia,PREPRI,G,MALE,PERCENT,,,0,,,,,,,46.15385,15,100,,77.77778,100,100,78.57143,100,,,,,,ARM
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",51,Armenia,PRIMAR,G,BOTHSEX,PERCENT,,,,,66.65664,77.45596,,,,,,,,,,,,,,73.62439,75.11778,,,ARM
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",51,Armenia,PRIMAR,G,FEMALE,PERCENT,,,,,66.4997,77.91631,,,,,,,,,,,,,,74.76198,76.15063,,,ARM
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",51,Armenia,PRIMAR,G,MALE,PERCENT,,,,,84.48276,22.44898,,,,,,,,,,,,,,64.60396,66.85268,,,ARM
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",51,Armenia,SECOND,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,,,,74.58654,76.17836,,,ARM
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",51,Armenia,SECOND,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,,,,75.48212,76.93656,,,ARM
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",51,Armenia,SECOND,G,MALE,PERCENT,,,,,,,,,,,,,,,,,,,,67.99867,70.59644,,,ARM
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",51,Armenia,UPPSEC,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,,,,75.39498,77.10025,,,ARM
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",51,Armenia,UPPSEC,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,,,,76.09651,77.63864,,,ARM
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",51,Armenia,UPPSEC,G,MALE,PERCENT,,,,,,,,,,,,,,,,,,,,70.52389,73.40295,,,ARM
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",533,Aruba,PREPRI,G,BOTHSEX,PERCENT,100,100,100,98.51852,100,100,100,100,100,100,100,98.63946,100,,,,,,,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",533,Aruba,PREPRI,G,FEMALE,PERCENT,100,100,100,98.50746,100,100,100,100,100,100,100,98.61111,100,,,,,,,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",533,Aruba,PREPRI,G,MALE,PERCENT,0,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",533,Aruba,PRIMAR,G,BOTHSEX,PERCENT,100,100,100,100,100,100,99.47552,100,99.48187,99.82818,100,99.83444,99.50083,,,,,,,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",533,Aruba,PRIMAR,G,FEMALE,PERCENT,100,100,100,,100,100,100,100,100,100,100,100,99.80315,,,,,,,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",533,Aruba,PRIMAR,G,MALE,PERCENT,100,100,100,,100,100,97.14286,100,97.0297,98.9899,100,98.91304,97.84946,,,,,,,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",533,Aruba,SECOND,G,BOTHSEX,PERCENT,100,100,100,95.87852,95.19833,91.83267,93.24324,,98.91892,96.20253,96.2406,95.83333,95.85586,,,,,,,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",533,Aruba,SECOND,G,FEMALE,PERCENT,100,100,100,96.52174,95.47325,92.30769,91.84397,,,95.89905,96.19048,96.49682,97.56839,,,,,,,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",533,Aruba,SECOND,G,MALE,PERCENT,100,100,100,95.2381,94.91525,91.32231,94.91525,,,96.61017,96.31336,94.85981,93.36283,,,,,,,,,,,
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",31,Azerbaijan,LOWSEC,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,91.59518,97.62284,99.76004,99.59416,99.66224,,,AZE
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",31,Azerbaijan,LOWSEC,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,91.61694,97.74027,99.8012,99.84347,99.68016,,,AZE
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",31,Azerbaijan,LOWSEC,G,MALE,PERCENT,,,,,,,,,,,,,,,,,91.53725,97.28728,99.63643,98.80963,99.60438,,,AZE
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",31,Azerbaijan,PREPRI,G,BOTHSEX,PERCENT,79.1496,78.07429,82.96579,82.73283,84.52565,83.71408,89.86094,90.49522,88.65526,90.20287,90.90004,91.67776,91.72161,,86.26211,91.16109,87.98922,,91.0134,91.75064,91.18866,,,AZE
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",31,Azerbaijan,PREPRI,G,FEMALE,PERCENT,79.15468,78.07429,82.96579,82.72495,84.52565,83.70828,89.86001,90.49433,88.67019,,,91.72011,91.69353,,,91.14187,87.95113,,91.01261,91.75064,91.18866,,,AZE
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",31,Azerbaijan,PREPRI,G,MALE,PERCENT,50,0,0,100,0,90,100,100,76.92308,,,85.07463,96.72131,,,100,100,,100,0,0,,,AZE
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",31,Azerbaijan,PRIMAR,G,BOTHSEX,PERCENT,99.93328,99.94324,100,99.62546,99.81896,99.97633,99.98141,99.99773,99.94087,99.91635,99.97936,99.98844,99.99272,99.56842,99.35141,99.27994,,98.03782,99.52143,99.83149,99.86056,,,AZE
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",31,Azerbaijan,PRIMAR,G,FEMALE,PERCENT,99.9226,99.94393,100,99.66942,99.86981,99.98891,99.9785,100,99.95298,,99.98703,99.99217,99.9946,99.57018,,,,98.05512,99.74905,99.89456,99.86404,,,AZE
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",31,Azerbaijan,PRIMAR,G,MALE,PERCENT,99.98452,99.9397,100,99.3769,99.53358,99.90266,100,99.98307,99.8594,,99.92095,99.95954,99.97604,99.55224,,,,97.86943,96.52802,99.03654,99.81132,,,AZE
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",31,Azerbaijan,UPPSEC,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,,,71.89347,70.59747,71.97471,,,AZE
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",31,Azerbaijan,UPPSEC,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,,,74.29099,73.52398,75.00768,,,AZE
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",31,Azerbaijan,UPPSEC,G,MALE,PERCENT,,,,,,,,,,,,,,,,,,,65.5176,63.17395,63.70379,,,AZE
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",44,Bahamas,LOWSEC,G,BOTHSEX,PERCENT,,,100,,,89.51456,89.0118,85.27027,86.57025,82.52427,89.00204,80.57348,86.38543,77.54919,81.04575,82.55319,83.33333,82.55319,80.9833,,,,,BHS
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",44,Bahamas,LOWSEC,G,FEMALE,PERCENT,,,100,,,89.84962,90.53549,87.12776,86.31985,83.24873,,82.83302,89.87342,79.59668,79.70688,88.01653,85.04902,88.01653,84.56938,,,,,BHS
