Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Reporting Type,Sex,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,ISO3
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",28,Antigua and Barbuda,G,BOTHSEX,PERCENT,,,,,,,,96.5,97.18981,,,,,96.56433,94.01867,98.02547,94.95314,97.95271,91.06648,,,,,
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",28,Antigua and Barbuda,G,FEMALE,PERCENT,,,,,,,,95.50073,94.285,,,,,93.91691,87.88062,100,96.64234,100,95.78059,,,,,
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",28,Antigua and Barbuda,G,MALE,PERCENT,,,,,,,,97.46835,100,,,,,99.13545,100,96.09821,93.30484,95.96253,86.49386,,,,,
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",32,Argentina,G,BOTHSEX,PERCENT,99.19166,99.24705,99.25613,98.09208,99.05828,99.1162,99.26442,96.91319,98.35552,98.05086,99.23803,97.08818,96.60038,97.49906,99.18871,99.26518,99.31045,97.81543,97.91551,99.27449,,,,ARG
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",32,Argentina,G,FEMALE,PERCENT,100,100,100,98.60394,99.69655,100,100,97.79881,99.37187,98.95076,99.98083,97.8521,97.47287,98.28109,100,100,100,98.14893,98.13601,99.7062,,,,ARG
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",32,Argentina,G,MALE,PERCENT,98.40891,98.51837,98.53686,97.59765,98.44229,98.26374,98.55502,96.05905,97.37515,97.18271,98.52149,96.35137,95.759,96.74507,98.40661,98.55681,98.64576,97.49398,97.703,98.85845,,,,ARG
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",51,Armenia,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,47.17169,45.14671,48.07364,47.536,49.28523,62.9475,,,ARM
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",51,Armenia,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,49.0338,47.29132,50.56534,49.54133,50.32386,62.05174,,,ARM
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",51,Armenia,G,MALE,PERCENT,,,,,,,,,,,,,,,,45.54081,43.26149,45.88049,45.76945,48.36938,63.73886,,,ARM
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",533,Aruba,G,BOTHSEX,PERCENT,93.56605,99.32203,97.36842,97.46671,96.89746,96.42857,98.87229,99.74881,98.74001,99.48416,96.71752,,,98.83241,99.98893,,,,,,,,,
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",533,Aruba,G,FEMALE,PERCENT,92.77778,98.61687,95.47325,94.86383,100,98.0198,97.71998,100,100,100,93.27662,,,97.60982,100,,,,,,,,,
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",533,Aruba,G,MALE,PERCENT,94.33198,100,99.20319,100,93.85814,94.86824,100,99.5048,97.52178,98.9899,100,,,100,99.97832,,,,,,,,,
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",36,Australia,G,BOTHSEX,PERCENT,,52.77135,51.49512,64.52273,65.75983,62.80391,62.96296,51.89909,52.85639,52.22294,52.57204,,,80.06622,82.66048,86.31254,89.76035,86.44291,86.19135,83.46139,82.04572,,,AUS
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",36,Australia,G,FEMALE,PERCENT,,53.46344,52.28257,65.09103,66.12403,63.09708,62.2938,51.46853,52.2882,51.83024,52.13146,,,80.0955,82.55788,86.1915,89.1074,86.14346,85.84186,83.12074,81.83712,,,AUS
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",36,Australia,G,MALE,PERCENT,,52.12965,50.76094,63.98957,65.41637,62.52688,63.59716,52.30798,53.39673,52.59685,52.99214,,,80.03852,82.75751,86.42719,90.3796,86.72708,86.52305,83.78463,82.24357,,,AUS
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",53,Australia and New Zealand,G,BOTHSEX,PERCENT,58.94202,58.20794,56.88617,67.29992,68.16441,65.80096,65.96053,56.96029,57.85867,57.48234,57.9212,65.45681,73.54835,81.8443,84.16919,87.49756,90.09735,88.02221,87.40659,84.72886,85.99068,,,
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",53,Australia and New Zealand,G,FEMALE,PERCENT,59.76898,59.02636,57.77824,67.98943,68.68032,66.25978,65.62765,56.82435,57.60257,57.36307,57.7551,65.38579,73.61096,82.08444,84.29973,87.50125,89.62569,87.83263,87.00139,84.33042,85.58609,,,
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",53,Australia and New Zealand,G,MALE,PERCENT,58.17392,57.4477,56.05389,66.65418,67.68029,65.37005,66.28023,57.09299,58.10546,57.59859,58.08189,65.52711,73.49125,81.61787,84.04592,87.49408,90.54416,88.20206,87.79137,85.1073,86.37508,,,
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",40,Austria,G,BOTHSEX,PERCENT,87.42487,88.62378,91.4895,90.82573,91.32545,90.77944,92.98879,91.74187,96.71227,95.2851,96.94502,98.07005,97.6183,95.97958,97.33238,97.0963,99.02176,99.99639,99.80109,98.51716,,,,AUT
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",40,Austria,G,FEMALE,PERCENT,87.76423,88.94219,91.5895,91.07606,91.44277,90.80645,92.94315,92.20555,96.93859,96.19308,97.05288,98.83275,98.25286,96.95794,97.57013,99.19459,100,99.99256,100,99.21056,,,,AUT
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",40,Austria,G,MALE,PERCENT,87.10273,88.32133,91.39458,90.58811,91.21403,90.75377,93.03219,91.30067,96.49694,94.42148,96.84246,97.34474,97.01463,95.04943,97.10672,95.10985,98.09853,100,99.61428,97.86688,,,,AUT
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",31,Azerbaijan,G,BOTHSEX,PERCENT,15.81366,21.90507,23.24376,25.16474,24.73982,25.02993,26.63477,27.43338,26.40131,25.96676,30.36956,31.97878,32.63392,32.25455,26.98949,27.60907,24.9365,61.29114,69.11895,74.19056,83.23706,,,AZE
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",31,Azerbaijan,G,FEMALE,PERCENT,16.07746,21.26697,23.55994,24.98065,23.87069,23.90981,26.14209,27.7179,26.2634,26.19964,29.7495,31.20685,31.78349,32.06344,27.41408,27.96426,25.05398,61.39544,,81.14231,82.6817,,,AZE
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",31,Azerbaijan,G,MALE,PERCENT,15.56282,22.55038,22.94584,25.33998,25.60202,26.15549,27.09716,27.18436,26.52275,25.76315,30.90901,32.65483,33.38246,32.42129,26.62413,27.30664,24.8356,61.20141,,68.16053,83.71941,,,AZE
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",44,Bahamas,G,BOTHSEX,PERCENT,,,,,,,,,,,,39.54041,40.46105,33.15217,39.59948,33.6901,36.77397,43.28465,37.55622,,,,,BHS
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",44,Bahamas,G,FEMALE,PERCENT,,,,,,,,,,,,39.76627,40.95812,34.48386,39.70207,34.33875,38.51188,47.47914,39.60739,,,,,BHS
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",44,Bahamas,G,MALE,PERCENT,,,,,,,,,,,,39.31298,39.96176,31.81964,39.49742,33.04974,35.07412,39.23696,35.60993,,,,,BHS
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",48,Bahrain,G,BOTHSEX,PERCENT,58.76815,55.95592,58.93364,58.90475,65.91536,61.46428,62.96609,,,,,77.33473,72.32553,75.82106,81.56576,82.35477,82.93011,76.6482,70.50715,70.06962,,,,
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",48,Bahrain,G,FEMALE,PERCENT,59.28529,56.32804,58.84421,59.54994,65.7719,62.02749,65.60405,,,,,77.65277,71.27343,75.31561,79.75282,81.37766,82.80383,76.12993,71.53206,71.78596,,,,
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",48,Bahrain,G,MALE,PERCENT,58.28951,55.61725,59.01639,58.30311,66.04899,60.94436,60.56808,,,,,77.02903,73.33626,76.31183,83.34919,83.31961,83.05318,77.15309,69.53991,68.52191,,,,
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",50,Bangladesh,G,BOTHSEX,PERCENT,,,,,,,,,,31.10034,36.64942,,,,,,,,,77.5,,,,BGD
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",50,Bangladesh,G,FEMALE,PERCENT,,,,,,,,,,31.60124,36.71829,,,,,,,,,,,,,BGD
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",50,Bangladesh,G,MALE,PERCENT,,,,,,,,,,30.61928,36.58332,,,,,,,,,,,,,BGD
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",52,Barbados,G,BOTHSEX,PERCENT,81.87516,80.17154,89.98451,93.01772,89.54619,93.16753,99.56639,95.4101,97.43645,80.85791,90.67344,84.49342,,,97.90515,99.89529,90.88964,97.30109,94.74024,91.84011,87.53779,,,
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",52,Barbados,G,FEMALE,PERCENT,83.13865,82.72867,92.29963,92.52286,89.09091,92.51397,99.11322,93.94108,100,80.91309,92.8689,89.17725,,,98.58491,99.78837,86.70377,94.53175,93.70904,89.77808,87.95346,,,
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",52,Barbados,G,MALE,PERCENT,80.64356,77.67813,87.73537,93.49636,89.9841,93.79347,100,96.8136,94.99189,80.80544,88.58781,80.05236,,,97.24296,100,94.98186,100,95.74062,93.83117,87.1372,,,
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",112,Belarus,G,BOTHSEX,PERCENT,,86.35195,85.32627,84.83999,90.27976,93.79284,98.36299,98.87146,96.21023,94.75132,93.1357,93.37178,96.65957,98.96251,98.69889,98.20273,98.48739,96.36349,98.05161,98.29264,98.05997,,,BLR
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",112,Belarus,G,FEMALE,PERCENT,,,84.22569,84.41816,89.45868,93.14778,97.90218,98.09417,95.50931,93.16251,92.06518,93.15127,96.44638,97.8654,97.32143,96.2978,96.88266,94.93437,96.48282,96.4762,96.44612,,,BLR
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",112,Belarus,G,MALE,PERCENT,,,86.36685,85.23859,91.05567,94.40269,98.79899,99.60762,96.8745,96.25726,94.15006,93.58053,96.86135,100,100,100,100,97.7097,99.52753,100,99.57781,,,BLR
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",56,Belgium,G,BOTHSEX,PERCENT,94.28286,95.34555,97.57334,99.42703,98.99746,99.8312,99.81138,99.79423,98.1148,98.12534,99.80485,99.92751,99.65133,99.9002,99.66082,99.18335,99.74212,98.36015,97.70356,96.22614,,,,BEL
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",56,Belgium,G,FEMALE,PERCENT,93.7204,95.23659,97.87388,99.28748,98.95621,100,99.61525,100,98.03275,98.44047,100,99.85148,100,100,99.30665,99.12893,99.80055,98.43369,98.40242,96.75019,,,,BEL
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",56,Belgium,G,MALE,PERCENT,94.82093,95.4499,97.28519,99.561,99.0371,99.66889,100,99.59671,98.19337,97.82437,99.61878,100,99.31847,99.80477,100,99.2355,99.68619,98.29001,97.04054,95.73187,,,,BEL
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",84,Belize,G,BOTHSEX,PERCENT,49.57615,54.7949,,53.81972,57.8618,68.96107,70.48385,71.9314,73.79851,79.12315,79.17688,81.91148,84.05139,89.07607,92.53831,84.25988,85.76366,85.00132,85.62516,82.91432,84.44134,,,BLZ
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",84,Belize,G,FEMALE,PERCENT,52.97143,55.6172,,55.5615,56.89792,70.76923,73.19907,73.01423,73.82498,80.04169,81.78497,82.57477,84.4632,88.0601,92.67429,85.06849,85.53596,84.95979,86.86709,83.76556,83.86352,,,BLZ
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",84,Belize,G,MALE,PERCENT,46.25489,53.99023,,52.11709,58.80382,67.19347,67.82828,70.87133,73.77258,78.22313,76.62669,81.26582,83.65262,90.05425,92.40804,83.48624,85.98228,85.04141,84.41825,82.08122,85.00882,,,BLZ
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",204,Benin,G,BOTHSEX,PERCENT,,,,20.70894,21.35023,23.54558,,,,,,68.16106,61.59201,,,,87.96852,,84.8008,,,,,BEN
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",204,Benin,G,FEMALE,PERCENT,,,,,,,,,,,,67.72659,60.79445,,,,88.27341,,84.43211,,,,,BEN
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",204,Benin,G,MALE,PERCENT,,,,,,,,,,,,68.58335,62.36723,,,,87.67249,,85.15873,,,,,BEN
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",60,Bermuda,G,BOTHSEX,PERCENT,,,,,,,,,,,,59.54089,67.88321,,,,,,,,,,,
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",60,Bermuda,G,FEMALE,PERCENT,,,,,,,,,,,,59.06433,70.91988,,,,,,,,,,,
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",60,Bermuda,G,MALE,PERCENT,,,,,,,,,,,,60,64.94253,,,,,,,,,,,
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",64,Bhutan,G,BOTHSEX,PERCENT,4.33429,,,,,,,,,,,,,,,,,,34.63183,,41.39789,,,BTN
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",64,Bhutan,G,FEMALE,PERCENT,4.22926,,,,,,,,,,,,,,,,,,35.36066,,41.25561,,,BTN
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",64,Bhutan,G,MALE,PERCENT,4.43652,,,,,,,,,,,,,,,,,,33.92602,,41.5355,,,BTN
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",68,Bolivia (Plurinational State of),G,BOTHSEX,PERCENT,65.83849,66.81035,67.20958,69.01064,71.88956,72.68482,72.29527,67.99405,57.46114,75.41808,73.87737,76.47032,76.15639,80.11911,82.96242,85.41289,91.27294,90.81332,90.12059,91.71464,93.03874,,,BOL
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",68,Bolivia (Plurinational State of),G,FEMALE,PERCENT,66.57396,67.44012,68.09904,69.48291,72.27378,73.04278,72.71087,68.09987,57.74114,76.0603,74.35931,76.60367,74.0001,79.16241,83.28289,85.60484,91.17461,90.56062,90.43709,92.39308,93.18066,,,BOL
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",68,Bolivia (Plurinational State of),G,MALE,PERCENT,65.1322,66.20574,66.35579,68.55729,71.52069,72.34108,71.89638,67.89253,57.19264,74.80236,73.41529,76.34252,78.22194,81.03533,82.65556,85.22909,91.36706,91.05515,89.81775,91.06542,92.9029,,,BOL
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",70,Bosnia and Herzegovina,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,,,,27.52321,29.34612,,,BIH
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",70,Bosnia and Herzegovina,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,,,,27.12233,28.59121,,,BIH
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",70,Bosnia and Herzegovina,G,MALE,PERCENT,,,,,,,,,,,,,,,,,,,,27.90273,30.0612,,,BIH
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",72,Botswana,G,BOTHSEX,PERCENT,,,,,,15.75853,19.58044,18.56763,21.08854,22.2323,,,27.10229,26.18393,33.618,21.32678,,,,,,,,BWA
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",72,Botswana,G,FEMALE,PERCENT,,,,,,15.95511,20.61486,19.14445,21.85764,23.18153,,,27.95928,26.54727,34.62619,21.54114,,,,,,,,BWA
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",72,Botswana,G,MALE,PERCENT,,,,,,15.56584,18.56815,18.00456,20.33927,21.30745,,,26.26627,25.82873,32.63117,21.11722,,,,,,,,BWA
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",76,Brazil,G,BOTHSEX,PERCENT,,81.10313,81.26028,85.77087,80.02177,88.08301,,79.95112,89.41227,88.20346,,79.03666,81.38792,90.02113,92.73735,91.36554,97.91537,98.04249,99.67196,99.41041,,,,BRA
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",76,Brazil,G,FEMALE,PERCENT,,,,,78.44937,88.3522,,80.79469,89.73097,90.16708,,79.25302,80.57066,90.77822,93.71554,91.90415,99.80353,96.08097,99.38261,98.80167,,,,BRA
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",76,Brazil,G,MALE,PERCENT,,,,,81.64544,87.83048,,79.15259,89.10744,86.39429,,78.82975,82.189,89.30487,91.8167,90.85396,96.17426,100,99.95104,100,,,,BRA
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",92,British Virgin Islands,G,BOTHSEX,PERCENT,68.78307,94.51697,95.65091,79.72973,,91.55914,92.30252,,,98.40992,,95.56254,,,99.06013,95.42063,97.8355,99.0296,95.41558,98.95299,97.1596,,,
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",92,British Virgin Islands,G,FEMALE,PERCENT,67.93478,97.3262,91.08793,79.55801,,100,100,,,100,,90.86146,,,98.02459,100,100,100,100,100,100,,,
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",92,British Virgin Islands,G,MALE,PERCENT,69.58763,91.83673,100,79.89418,,83.47368,84.9241,,,96.87549,,100,,,100,91.29126,95.86777,98.12851,91.0841,97.95151,94.36223,,,
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",96,Brunei Darussalam,G,BOTHSEX,PERCENT,,,,,,97.98716,97.46234,99.64813,97.9092,98.7856,99.26884,98.96436,99.99284,97.85679,99.97724,97.20179,88.7245,92.56372,94.14226,,94.33296,,,BRN
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",96,Brunei Darussalam,G,FEMALE,PERCENT,,,,,,95.93163,94.84554,100,100,100,98.50595,97.88058,100,100,100,96.55857,89.15779,93.01025,94.14576,,94.07299,,,BRN
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",96,Brunei Darussalam,G,MALE,PERCENT,,,,,,100,100,99.31028,95.91671,97.63099,100,100,99.98603,95.83561,99.95592,97.80322,88.32029,92.1472,94.13899,,94.57683,,,BRN
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",100,Bulgaria,G,BOTHSEX,PERCENT,81.90853,81.87416,81.42976,89.88299,89.6029,96.08331,99.69483,99.89886,98.73904,95.25041,93.18282,93.32908,91.14361,89.46914,89.13225,88.33949,90.55309,84.01939,80.52424,83.15439,,,,BGR
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",100,Bulgaria,G,FEMALE,PERCENT,81.46386,82.41534,81.59705,89.42507,88.6901,96.13058,100,100,98.38269,94.7021,93.19488,93.59215,91.27946,89.46723,88.70109,87.95154,90.89631,83.46773,79.60288,82.51903,,,,BGR
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",100,Bulgaria,G,MALE,PERCENT,82.33027,81.36267,81.27179,90.31572,90.46674,96.03851,99.40564,99.80312,99.0758,95.76761,93.17144,93.08115,91.01554,89.47093,89.53984,88.70671,90.22791,84.54216,81.39713,83.75598,,,,BGR
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",854,Burkina Faso,G,BOTHSEX,PERCENT,,21.56943,,,,,,,,32.38426,6.44315,2.29162,8.97403,9.6189,9.48683,9.41079,13.35573,16.61268,16.48794,19.09387,20.69705,,,BFA
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",854,Burkina Faso,G,FEMALE,PERCENT,,19.11862,,,,,,,,31.64616,6.41721,2.33134,8.98851,9.63904,9.57612,9.49471,13.37532,16.55648,16.39668,19.04301,20.65767,,,BFA
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",854,Burkina Faso,G,MALE,PERCENT,,23.94705,,,,,,,,33.09715,6.4682,2.25326,8.96005,9.59943,9.40048,9.32958,13.33677,16.66705,16.57618,19.14301,20.73508,,,BFA
