Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Age,Location,Reporting Type,Sex,Type of skill,Units,2013,2014,2015,2016,2017,2018,2019,2020,ISO3
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,,,G,FEMALE,TRAF,PERCENT,,,,,,,18.44292,24.1899,ALB
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,,,G,MALE,COPA,PERCENT,,,,,,,17.64465,20.48857,ALB
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,,,G,MALE,EPRS,PERCENT,,,,,,,8.85291,12.7566,ALB
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,,,G,MALE,PCPR,PERCENT,,,,,,,1.76615,4.06967,ALB
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,,,G,MALE,SOFT,PERCENT,,,,,,,15.21616,19.52345,ALB
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,,,G,MALE,TRAF,PERCENT,,,,,,,21.5504,25.86394,ALB
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,BOTHSEX,ARSP,PERCENT,,,,,,9.40813,,,DZA
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,BOTHSEX,CMFL,PERCENT,,,,,,21.45077,,,DZA
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,BOTHSEX,COPA,PERCENT,,,,,,17.72001,,,DZA
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,BOTHSEX,EMAIL,PERCENT,,,,,,16.14774,,,DZA
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,BOTHSEX,EPRS,PERCENT,,,,,,7.21477,,,DZA
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,BOTHSEX,INST,PERCENT,,,,,,16.19894,,,DZA
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,BOTHSEX,PCPR,PERCENT,,,,,,6.89336,,,DZA
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,BOTHSEX,SOFT,PERCENT,,,,,,15.54998,,,DZA
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,BOTHSEX,TRAF,PERCENT,,,,,,17.31231,,,DZA
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,FEMALE,ARSP,PERCENT,,,,,,5.80744,,,DZA
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,FEMALE,CMFL,PERCENT,,,,,,15.8734,,,DZA
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,FEMALE,COPA,PERCENT,,,,,,12.52083,,,DZA
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,FEMALE,EMAIL,PERCENT,,,,,,10.47115,,,DZA
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,FEMALE,EPRS,PERCENT,,,,,,4.56856,,,DZA
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,FEMALE,INST,PERCENT,,,,,,10.25323,,,DZA
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,FEMALE,PCPR,PERCENT,,,,,,4.66285,,,DZA
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,FEMALE,SOFT,PERCENT,,,,,,10.49518,,,DZA
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,FEMALE,TRAF,PERCENT,,,,,,11.73322,,,DZA
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,MALE,ARSP,PERCENT,,,,,,12.95813,,,DZA
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,MALE,CMFL,PERCENT,,,,,,26.94962,,,DZA
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,MALE,COPA,PERCENT,,,,,,22.846,,,DZA
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,MALE,EMAIL,PERCENT,,,,,,21.74442,,,DZA
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,MALE,EPRS,PERCENT,,,,,,9.82373,,,DZA
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,MALE,INST,PERCENT,,,,,,22.06094,,,DZA
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,MALE,PCPR,PERCENT,,,,,,9.09248,,,DZA
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,MALE,SOFT,PERCENT,,,,,,20.53361,,,DZA
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,MALE,TRAF,PERCENT,,,,,,22.81286,,,DZA
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",20,Andorra,,,G,BOTHSEX,CMFL,PERCENT,,,,,59.58742,,,,
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",20,Andorra,,,G,BOTHSEX,EPRS,PERCENT,,,,,45.11667,,,,
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",20,Andorra,,,G,BOTHSEX,PCPR,PERCENT,,,,,5.97734,,,,
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",20,Andorra,,,G,BOTHSEX,SOFT,PERCENT,,,,,52.79506,,,,
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",20,Andorra,,,G,BOTHSEX,TRAF,PERCENT,,,,,67.28272,,,,
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",40,Austria,,,G,BOTHSEX,ARSP,PERCENT,,48.6779,45.54411,,,,,,AUT
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",40,Austria,,,G,BOTHSEX,CMFL,PERCENT,,73.17149,67.07806,65.68354,68.3931,,66.98766,,AUT
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",40,Austria,,,G,BOTHSEX,COPA,PERCENT,,68.50162,63.49991,,,,,,AUT
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",40,Austria,,,G,BOTHSEX,EMAIL,PERCENT,71.0846,,,,,,,,AUT
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",40,Austria,,,G,BOTHSEX,EPRS,PERCENT,,39.61651,42.05492,44.11324,44.58698,,45.717,,AUT
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",40,Austria,,,G,BOTHSEX,INST,PERCENT,,54.32194,,,,,,,AUT
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",40,Austria,,,G,BOTHSEX,PCPR,PERCENT,,11.87568,7.91422,6.10346,7.26629,,8.75676,,AUT
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",40,Austria,,,G,BOTHSEX,SOFT,PERCENT,,37.54446,51.7209,54.89127,56.86752,,59.41362,,AUT
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",40,Austria,,,G,BOTHSEX,TRAF,PERCENT,,65.37807,58.76273,59.59224,62.55837,,60.7008,,AUT
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",40,Austria,,,G,FEMALE,ARSP,PERCENT,,41.1666,36.24319,,,,,,AUT
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",40,Austria,,,G,FEMALE,CMFL,PERCENT,,68.4222,59.58721,59.99179,61.53052,,,,AUT
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",40,Austria,,,G,FEMALE,COPA,PERCENT,,61.99859,57.4751,,,,,,AUT
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",40,Austria,,,G,FEMALE,EMAIL,PERCENT,66.59831,,,,,,,,AUT
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",40,Austria,,,G,FEMALE,EPRS,PERCENT,,34.5959,35.3706,40.18665,41.33993,,,,AUT
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",40,Austria,,,G,FEMALE,INST,PERCENT,,43.85671,,,,,,,AUT
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",40,Austria,,,G,FEMALE,PCPR,PERCENT,,6.806,2.784,2.5364,2.77023,,,,AUT
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",40,Austria,,,G,FEMALE,SOFT,PERCENT,,,41.04399,,48.3399,,,,AUT
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",40,Austria,,,G,FEMALE,TRAF,PERCENT,,59.05472,50.74998,53.48022,55.36487,,,,AUT
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",40,Austria,,,G,MALE,ARSP,PERCENT,,56.34121,55.00759,,,,,,AUT
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",40,Austria,,,G,MALE,CMFL,PERCENT,,78.0139,74.6779,71.44811,75.32442,,,,AUT
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",40,Austria,,,G,MALE,COPA,PERCENT,,75.14361,69.63,,,,,,AUT
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",40,Austria,,,G,MALE,EMAIL,PERCENT,75.66371,,,,,,,,AUT
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",40,Austria,,,G,MALE,EPRS,PERCENT,,44.75061,48.8334,48.09009,47.86656,,,,AUT
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",40,Austria,,,G,MALE,INST,PERCENT,,65.01331,,,,,,,AUT
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",40,Austria,,,G,MALE,PCPR,PERCENT,,17.0483,13.14569,9.71616,11.8074,,,,AUT
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",40,Austria,,,G,MALE,SOFT,PERCENT,,,62.58441,,65.4805,,,,AUT
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",40,Austria,,,G,MALE,TRAF,PERCENT,,71.81921,66.89919,65.78245,69.82391,,,,AUT
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",31,Azerbaijan,,,G,BOTHSEX,ARSP,PERCENT,16.97321,18.49516,18.86663,18.72528,21.01166,20.7524,21.71498,24.80001,AZE
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",31,Azerbaijan,,,G,BOTHSEX,CMFL,PERCENT,53.65725,58.46859,59.6429,59.19181,66.39264,65.5669,,,AZE
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",31,Azerbaijan,,,G,BOTHSEX,COPA,PERCENT,52.01468,56.67874,57.8171,57.39049,64.37218,63.57157,66.5269,73.47,AZE
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",31,Azerbaijan,,,G,BOTHSEX,EMAIL,PERCENT,43.80183,47.72947,48.68808,48.32735,54.22274,53.55371,56.03773,62.775,AZE
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",31,Azerbaijan,,,G,BOTHSEX,EPRS,PERCENT,5.20146,5.66787,5.78171,5.73798,6.43609,6.35857,6.65152,7.3625,AZE
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",31,Azerbaijan,,,G,BOTHSEX,INST,PERCENT,11.49798,12.52898,12.78062,12.68611,14.23509,14.05664,14.71158,17.05,AZE
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",31,Azerbaijan,,,G,BOTHSEX,PCPR,PERCENT,0.54752,0.59662,0.6086,0.60407,0.68645,0.68644,,,AZE
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",31,Azerbaijan,,,G,BOTHSEX,SOFT,PERCENT,6.57028,7.15942,7.30322,7.25253,8.14213,8.04247,8.41466,10.075,AZE
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",31,Azerbaijan,,,G,BOTHSEX,TRAF,PERCENT,3.28513,3.57971,3.6516,3.62619,4.06984,4.02565,4.20607,5.425,AZE
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",31,Azerbaijan,,,G,FEMALE,ARSP,PERCENT,,,,,20.4397,20.21157,21.17318,24.19366,AZE
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",31,Azerbaijan,,,G,FEMALE,CMFL,PERCENT,,,,,64.58534,63.85814,,,AZE
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",31,Azerbaijan,,,G,FEMALE,COPA,PERCENT,,,,,62.61986,61.91479,64.86704,71.67368,AZE
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",31,Azerbaijan,,,G,FEMALE,EMAIL,PERCENT,,,,,52.74672,52.15802,54.63958,61.24017,AZE
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",31,Azerbaijan,,,G,FEMALE,EPRS,PERCENT,,,,,6.26088,6.19285,6.48556,7.18248,AZE
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",31,Azerbaijan,,,G,FEMALE,INST,PERCENT,,,,,13.84758,13.69029,14.34452,16.63314,AZE
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",31,Azerbaijan,,,G,FEMALE,PCPR,PERCENT,,,,,0.66776,0.66854,,,AZE
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",31,Azerbaijan,,,G,FEMALE,SOFT,PERCENT,,,,,7.9205,7.83289,8.20472,9.82867,AZE
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",31,Azerbaijan,,,G,FEMALE,TRAF,PERCENT,,,,,3.95906,3.92074,4.10114,5.29237,AZE
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",31,Azerbaijan,,,G,MALE,ARSP,PERCENT,,,,,21.59697,21.30452,22.26681,25.41695,AZE
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",31,Azerbaijan,,,G,MALE,CMFL,PERCENT,,,,,68.24212,67.31133,,,AZE
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",31,Azerbaijan,,,G,MALE,COPA,PERCENT,,,,,66.16539,65.26294,68.21751,75.29771,AZE
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",31,Azerbaijan,,,G,MALE,EMAIL,PERCENT,,,,,55.73322,54.97853,57.46178,64.33664,AZE
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",31,Azerbaijan,,,G,MALE,EPRS,PERCENT,,,,,6.61538,6.52775,6.82056,7.54566,AZE
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",31,Azerbaijan,,,G,MALE,INST,PERCENT,,,,,14.63164,14.43063,15.08545,17.47415,AZE
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",31,Azerbaijan,,,G,MALE,PCPR,PERCENT,,,,,0.70557,0.7047,,,AZE
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",31,Azerbaijan,,,G,MALE,SOFT,PERCENT,,,,,8.36893,8.25644,8.6285,10.32564,AZE
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",31,Azerbaijan,,,G,MALE,TRAF,PERCENT,,,,,4.18321,4.13274,4.31295,5.55996,AZE
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",48,Bahrain,,,G,BOTHSEX,ARSP,PERCENT,,,33,48.99999,44.25213,45.85232,36,46.18421,
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",48,Bahrain,,,G,BOTHSEX,CMFL,PERCENT,,,68.00001,82,78.51709,71.17492,71.12401,,
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",48,Bahrain,,,G,BOTHSEX,COPA,PERCENT,,,54.00004,56.00001,61.8718,54.35619,57.85075,68.02632,
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",48,Bahrain,,,G,BOTHSEX,EMAIL,PERCENT,,,61.00003,74.00001,79.41027,66.58249,66.53747,81.84211,
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",48,Bahrain,,,G,BOTHSEX,EPRS,PERCENT,,,36.00003,51.99998,41.41026,42.78318,36,38.35526,
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",48,Bahrain,,,G,BOTHSEX,INST,PERCENT,,,40.99999,53.99999,45.30771,48.18028,42,42.5,
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",48,Bahrain,,,G,BOTHSEX,PCPR,PERCENT,,,12.99996,13.99996,20.38034,9.80722,18.08955,17.17105,
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",48,Bahrain,,,G,BOTHSEX,SOFT,PERCENT,,,40.99999,51.99998,49.69227,59.65886,54,65,
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",48,Bahrain,,,G,BOTHSEX,TRAF,PERCENT,,,37.00004,50.00004,52.41939,,58,55,
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",48,Bahrain,,,G,FEMALE,ARSP,PERCENT,,,34.79651,32.67609,36.55148,39.92551,53.59756,48.97734,
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",48,Bahrain,,,G,FEMALE,CMFL,PERCENT,,,50.15139,69.38543,77.50336,65.2987,,,
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",48,Bahrain,,,G,FEMALE,COPA,PERCENT,,,55.79651,42.88986,62.54243,51.11958,62.653,77.22607,
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",48,Bahrain,,,G,FEMALE,EMAIL,PERCENT,,,61.0076,57.87634,72.2666,61.38079,30.62996,87.42837,
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",48,Bahrain,,,G,FEMALE,EPRS,PERCENT,,,39.5931,44.6162,40.63023,40.67165,56.24382,48.30701,
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",48,Bahrain,,,G,FEMALE,INST,PERCENT,,,32.01774,47.30469,39.46233,41.9777,69.66986,41.8945,
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",48,Bahrain,,,G,FEMALE,PCPR,PERCENT,,,12.99986,11.0637,17.49006,11.19407,17.8743,21.98579,
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",48,Bahrain,,,G,FEMALE,SOFT,PERCENT,,,39.20351,40.15319,42.99644,55.78363,86.92928,70.89878,
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",48,Bahrain,,,G,FEMALE,TRAF,PERCENT,,,40.59315,34.63546,63.17484,40.11198,87.05914,62.50044,
