ObjectId,goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level_,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,education_level_code,education_level_desc,type_of_skill_code,type_of_skill_desc,UnitMultiplier,Units_code,Units_desc,timeSeries_id,timeSeries_keys,n_years,min_year,max_year,years,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,value_2019,value_2020,latest_value,footnotes,nature
11,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",C040501,4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",2021.Q2.G.03,"['education', 'equality']",SE_TOT_SESPI,Adjusted low to high socio-economic parity index for achieving a minimum proficiency level in reading and mathematics (ratio),51,Armenia,4,145,Western Asia,Country,44.93839317,40.29499741,ARM,1,1,ISCED11_2,Lower secondary,SKILL_MATH,Skill: Minimum proficiency in mathematics,,RO,Ratio,SE_TOT_SESPI__ISCED11_2__SKILL_MATH,education_level__type_of_skill,4,2003,2015,"[2003, 2007, 2011, 2015]",,,,0.9055,,,,1.02896,,,,0.78614,,,,0.98864,,,,,,0.98864,,C: Country data
12,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",C040501,4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",2021.Q2.G.03,"['education', 'equality']",SE_TOT_SESPI,Adjusted low to high socio-economic parity index for achieving a minimum proficiency level in reading and mathematics (ratio),51,Armenia,4,145,Western Asia,Country,44.93839317,40.29499741,ARM,1,1,ISCED11_1,Primary,SKILL_MATH,Skill: Minimum proficiency in mathematics,,RO,Ratio,SE_TOT_SESPI__ISCED11_1__SKILL_MATH,education_level__type_of_skill,4,2003,2015,"[2003, 2007, 2011, 2015]",,,,0.9933,,,,1.07182,,,,0.93304,,,,0.93835,,,,,,0.93835,,C: Country data
13,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",C040501,4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",2021.Q2.G.03,"['education', 'equality']",SE_TOT_SESPI,Adjusted low to high socio-economic parity index for achieving a minimum proficiency level in reading and mathematics (ratio),36,Australia,4,53,Australia and New Zealand,Country,134.3499412,-25.57717202,AUS,1,1,ISCED11A_0_G23,Grades 2/3,SKILL_MATH,Skill: Minimum proficiency in mathematics,,RO,Ratio,SE_TOT_SESPI__ISCED11A_0_G23__SKILL_MATH,education_level__type_of_skill,4,2003,2015,"[2003, 2007, 2011, 2015]",,,,0.53046,,,,0.61851,,,,0.60307,,,,0.54698,,,,,,0.54698,,C: Country data
14,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",C040501,4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",2021.Q2.G.03,"['education', 'equality']",SE_TOT_SESPI,Adjusted low to high socio-economic parity index for achieving a minimum proficiency level in reading and mathematics (ratio),36,Australia,4,53,Australia and New Zealand,Country,134.3499412,-25.57717202,AUS,1,1,ISCED11A_0_G23,Grades 2/3,SKILL_READ,Skill: Minimum proficiency in reading,,RO,Ratio,SE_TOT_SESPI__ISCED11A_0_G23__SKILL_READ,education_level__type_of_skill,2,2011,2016,"[2011, 2016]",,,,,,,,,,,,0.85939,,,,,0.89103,,,,,0.89103,,C: Country data
15,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",C040501,4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",2021.Q2.G.03,"['education', 'equality']",SE_TOT_SESPI,Adjusted low to high socio-economic parity index for achieving a minimum proficiency level in reading and mathematics (ratio),36,Australia,4,53,Australia and New Zealand,Country,134.3499412,-25.57717202,AUS,1,1,ISCED11_2,Lower secondary,SKILL_MATH,Skill: Minimum proficiency in mathematics,,RO,Ratio,SE_TOT_SESPI__ISCED11_2__SKILL_MATH,education_level__type_of_skill,7,2000,2018,"[2000, 2003, 2006, 2009, 2012, 2015, 2018]",0.81026,,,0.75666,,,0.78637,,,0.73632,,,0.69917,,,0.70889,,,0.71435,,,0.71435,,C: Country data
16,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",C040501,4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",2021.Q2.G.03,"['education', 'equality']",SE_TOT_SESPI,Adjusted low to high socio-economic parity index for achieving a minimum proficiency level in reading and mathematics (ratio),36,Australia,4,53,Australia and New Zealand,Country,134.3499412,-25.57717202,AUS,1,1,ISCED11_2,Lower secondary,SKILL_READ,Skill: Minimum proficiency in reading,,RO,Ratio,SE_TOT_SESPI__ISCED11_2__SKILL_READ,education_level__type_of_skill,7,2000,2018,"[2000, 2003, 2006, 2009, 2012, 2015, 2018]",0.79579,,,0.80484,,,0.78708,,,0.76681,,,0.78716,,,0.76018,,,0.76186,,,0.76186,,C: Country data
17,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",C040501,4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",2021.Q2.G.03,"['education', 'equality']",SE_TOT_SESPI,Adjusted low to high socio-economic parity index for achieving a minimum proficiency level in reading and mathematics (ratio),36,Australia,4,53,Australia and New Zealand,Country,134.3499412,-25.57717202,AUS,1,1,ISCED11_1,Primary,SKILL_MATH,Skill: Minimum proficiency in mathematics,,RO,Ratio,SE_TOT_SESPI__ISCED11_1__SKILL_MATH,education_level__type_of_skill,4,2003,2015,"[2003, 2007, 2011, 2015]",,,,0.64717,,,,0.44465,,,,0.53759,,,,0.52346,,,,,,0.52346,,C: Country data
18,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",C040501,4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",2021.Q2.G.03,"['education', 'equality']",SE_TOT_SESPI,Adjusted low to high socio-economic parity index for achieving a minimum proficiency level in reading and mathematics (ratio),40,Austria,5,155,Western Europe,Country,14.14172472,47.58704857,AUT,1,1,ISCED11_2,Lower secondary,SKILL_MATH,Skill: Minimum proficiency in mathematics,,RO,Ratio,SE_TOT_SESPI__ISCED11_2__SKILL_MATH,education_level__type_of_skill,6,2000,2018,"[2000, 2003, 2006, 2009, 2015, 2018]",0.71906,,,0.69172,,,0.66862,,,0.62775,,,,,,0.69739,,,0.70036,,,0.70036,,C: Country data
19,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",C040501,4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",2021.Q2.G.03,"['education', 'equality']",SE_TOT_SESPI,Adjusted low to high socio-economic parity index for achieving a minimum proficiency level in reading and mathematics (ratio),40,Austria,5,155,Western Europe,Country,14.14172472,47.58704857,AUT,1,1,ISCED11_2,Lower secondary,SKILL_READ,Skill: Minimum proficiency in reading,,RO,Ratio,SE_TOT_SESPI__ISCED11_2__SKILL_READ,education_level__type_of_skill,6,2000,2018,"[2000, 2003, 2006, 2009, 2015, 2018]",0.71508,,,0.63342,,,0.66346,,,0.55399,,,,,,0.6978,,,0.70467,,,0.70467,,C: Country data
20,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",C040501,4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",2021.Q2.G.03,"['education', 'equality']",SE_TOT_SESPI,Adjusted low to high socio-economic parity index for achieving a minimum proficiency level in reading and mathematics (ratio),40,Austria,5,155,Western Europe,Country,14.14172472,47.58704857,AUT,1,1,ISCED11_1,Primary,SKILL_READ,Skill: Minimum proficiency in reading,,RO,Ratio,SE_TOT_SESPI__ISCED11_1__SKILL_READ,education_level__type_of_skill,3,2006,2016,"[2006, 2011, 2016]",,,,,,,0.91625,,,,,0.92638,,,,,0.92086,,,,,0.92086,,C: Country data
21,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",C040501,4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",2021.Q2.G.03,"['education', 'equality']",SE_TOT_SESPI,Adjusted low to high socio-economic parity index for achieving a minimum proficiency level in reading and mathematics (ratio),31,Azerbaijan,4,145,Western Asia,Country,50.01064725,40.39229544,AZE,1,1,ISCED11_1,Primary,SKILL_READ,Skill: Minimum proficiency in reading,,RO,Ratio,SE_TOT_SESPI__ISCED11_1__SKILL_READ,education_level__type_of_skill,2,2011,2016,"[2011, 2016]",,,,,,,,,,,,1.02502,,,,,0.90271,,,,,0.90271,,C: Country data
22,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",C040501,4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",2021.Q2.G.03,"['education', 'equality']",SE_TOT_SESPI,Adjusted low to high socio-economic parity index for achieving a minimum proficiency level in reading and mathematics (ratio),48,Bahrain,4,145,Western Asia,Country,50.5490754,26.04407747,BHR,1,1,ISCED11_2,Lower secondary,SKILL_MATH,Skill: Minimum proficiency in mathematics,,RO,Ratio,SE_TOT_SESPI__ISCED11_2__SKILL_MATH,education_level__type_of_skill,4,2003,2015,"[2003, 2007, 2011, 2015]",,,,0.23802,,,,0.4314,,,,0.43232,,,,0.69294,,,,,,0.69294,,C: Country data
23,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",C040501,4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",2021.Q2.G.03,"['education', 'equality']",SE_TOT_SESPI,Adjusted low to high socio-economic parity index for achieving a minimum proficiency level in reading and mathematics (ratio),48,Bahrain,4,145,Western Asia,Country,50.5490754,26.04407747,BHR,1,1,ISCED11_1,Primary,SKILL_MATH,Skill: Minimum proficiency in mathematics,,RO,Ratio,SE_TOT_SESPI__ISCED11_1__SKILL_MATH,education_level__type_of_skill,2,2011,2015,"[2011, 2015]",,,,,,,,,,,,0.46052,,,,0.66475,,,,,,0.66475,,C: Country data
24,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",C040501,4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",2021.Q2.G.03,"['education', 'equality']",SE_TOT_SESPI,Adjusted low to high socio-economic parity index for achieving a minimum proficiency level in reading and mathematics (ratio),48,Bahrain,4,145,Western Asia,Country,50.5490754,26.04407747,BHR,1,1,ISCED11_1,Primary,SKILL_READ,Skill: Minimum proficiency in reading,,RO,Ratio,SE_TOT_SESPI__ISCED11_1__SKILL_READ,education_level__type_of_skill,1,2016,2016,[2016],,,,,,,,,,,,,,,,,0.72081,,,,,0.72081,,C: Country data
25,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",C040501,4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",2021.Q2.G.03,"['education', 'equality']",SE_TOT_SESPI,Adjusted low to high socio-economic parity index for achieving a minimum proficiency level in reading and mathematics (ratio),112,Belarus,5,151,Eastern Europe,Country,28.04940161,53.54193075,BLR,1,1,ISCED11_2,Lower secondary,SKILL_MATH,Skill: Minimum proficiency in mathematics,,RO,Ratio,SE_TOT_SESPI__ISCED11_2__SKILL_MATH,education_level__type_of_skill,1,2018,2018,[2018],,,,,,,,,,,,,,,,,,,0.54292,,,0.54292,,C: Country data
26,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",C040501,4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",2021.Q2.G.03,"['education', 'equality']",SE_TOT_SESPI,Adjusted low to high socio-economic parity index for achieving a minimum proficiency level in reading and mathematics (ratio),112,Belarus,5,151,Eastern Europe,Country,28.04940161,53.54193075,BLR,1,1,ISCED11_2,Lower secondary,SKILL_READ,Skill: Minimum proficiency in reading,,RO,Ratio,SE_TOT_SESPI__ISCED11_2__SKILL_READ,education_level__type_of_skill,1,2018,2018,[2018],,,,,,,,,,,,,,,,,,,0.61239,,,0.61239,,C: Country data
27,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",C040501,4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",2021.Q2.G.03,"['education', 'equality']",SE_TOT_SESPI,Adjusted low to high socio-economic parity index for achieving a minimum proficiency level in reading and mathematics (ratio),56,Belgium,5,155,Western Europe,Country,4.660976456,50.64104975,BEL,1,1,ISCED11_2,Lower secondary,SKILL_MATH,Skill: Minimum proficiency in mathematics,,RO,Ratio,SE_TOT_SESPI__ISCED11_2__SKILL_MATH,education_level__type_of_skill,7,2000,2018,"[2000, 2003, 2006, 2009, 2012, 2015, 2018]",0.65963,,,0.63753,,,0.68995,,,0.65052,,,0.66563,,,0.68822,,,0.66628,,,0.66628,,C: Country data
