ObjectId,goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level_,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,education_level_code,education_level_desc,UnitMultiplier,Units_code,Units_desc,timeSeries_id,timeSeries_keys,n_years,min_year,max_year,years,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,value_2019,value_2020,latest_value,footnotes,nature
11,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",504,Morocco,4,15,Northern Africa,Country,-6.281942841,31.8440131,MAR,1,1,ISCED11_3,Upper secondary,,PT,Percentage,SE_INF_DSBL__ISCED11_3,education_level,3,2017,2019,"[2017, 2018, 2019]",,,,,,,,,,,,,,,,,,35.22367,34.89138,35.06289,,35.06289,,C: Country data
12,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",104,Myanmar,4,35,South-Eastern Asia,Country,96.51752295,21.19332882,MMR,1,1,ISCED11_2,Lower secondary,,PT,Percentage,SE_INF_DSBL__ISCED11_2,education_level,1,2018,2018,[2018],,,,,,,,,,,,,,,,,,,1.71927,,,1.71927,,C: Country data
13,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",104,Myanmar,4,35,South-Eastern Asia,Country,96.51752295,21.19332882,MMR,1,1,ISCED11_1,Primary,,PT,Percentage,SE_INF_DSBL__ISCED11_1,education_level,1,2018,2018,[2018],,,,,,,,,,,,,,,,,,,0.56833,,,0.56833,,C: Country data
14,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",104,Myanmar,4,35,South-Eastern Asia,Country,96.51752295,21.19332882,MMR,1,1,ISCED11_3,Upper secondary,,PT,Percentage,SE_INF_DSBL__ISCED11_3,education_level,1,2018,2018,[2018],,,,,,,,,,,,,,,,,,,0.54113,,,0.54113,,C: Country data
15,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",520,Nauru,4,543,Oceania (exc. Australia and New Zealand),Country,166.92313,-0.528742623,NRU,1,1,ISCED11_2,Lower secondary,,PT,Percentage,SE_INF_DSBL__ISCED11_2,education_level,1,2019,2019,[2019],,,,,,,,,,,,,,,,,,,,20,,20,,C: Country data
16,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",520,Nauru,4,543,Oceania (exc. Australia and New Zealand),Country,166.92313,-0.528742623,NRU,1,1,ISCED11_2,Lower secondary,,PT,Percentage,SE_INF_DSBL__ISCED11_2,education_level,1,2019,2019,[2019],,,,,,,,,,,,,,,,,,,,20,,20,,C: Country data
17,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",520,Nauru,4,543,Oceania (exc. Australia and New Zealand),Country,166.92313,-0.528742623,NRU,1,1,ISCED11_3,Upper secondary,,PT,Percentage,SE_INF_DSBL__ISCED11_3,education_level,2,2016,2019,"[2016, 2019]",,,,,,,,,,,,,,,,,100,,,100,,100,,C: Country data
18,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",520,Nauru,4,543,Oceania (exc. Australia and New Zealand),Country,166.92313,-0.528742623,NRU,1,1,ISCED11_3,Upper secondary,,PT,Percentage,SE_INF_DSBL__ISCED11_3,education_level,2,2016,2019,"[2016, 2019]",,,,,,,,,,,,,,,,,100,,,100,,100,,C: Country data
19,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",562,Niger,4,11,Western Africa,Country,9.400167877,17.42143036,NER,1,1,ISCED11_2,Lower secondary,,PT,Percentage,SE_INF_DSBL__ISCED11_2,education_level,1,2016,2016,[2016],,,,,,,,,,,,,,,,,0,,,,,0,This data point is NIL for the submitting nation.,C: Country data
20,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",562,Niger,4,11,Western Africa,Country,9.400167877,17.42143036,NER,1,1,ISCED11_1,Primary,,PT,Percentage,SE_INF_DSBL__ISCED11_1,education_level,1,2016,2016,[2016],,,,,,,,,,,,,,,,,0,,,,,0,This data point is NIL for the submitting nation.,C: Country data
21,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",562,Niger,4,11,Western Africa,Country,9.400167877,17.42143036,NER,1,1,ISCED11_3,Upper secondary,,PT,Percentage,SE_INF_DSBL__ISCED11_3,education_level,1,2016,2016,[2016],,,,,,,,,,,,,,,,,0,,,,,0,This data point is NIL for the submitting nation.,C: Country data
22,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",570,Niue,4,543,Oceania (exc. Australia and New Zealand),Country,-169.8601693,-19.05000475,NIU,0,1,ISCED11_2,Lower secondary,,PT,Percentage,SE_INF_DSBL__ISCED11_2,education_level,2,2016,2019,"[2016, 2019]",,,,,,,,,,,,,,,,,100,,,100,,100,,C: Country data
23,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",570,Niue,4,543,Oceania (exc. Australia and New Zealand),Country,-169.8601693,-19.05000475,NIU,0,1,ISCED11_2,Lower secondary,,PT,Percentage,SE_INF_DSBL__ISCED11_2,education_level,2,2016,2019,"[2016, 2019]",,,,,,,,,,,,,,,,,100,,,100,,100,,C: Country data
24,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",570,Niue,4,543,Oceania (exc. Australia and New Zealand),Country,-169.8601693,-19.05000475,NIU,0,1,ISCED11_1,Primary,,PT,Percentage,SE_INF_DSBL__ISCED11_1,education_level,2,2016,2019,"[2016, 2019]",,,,,,,,,,,,,,,,,100,,,100,,100,,C: Country data
25,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",570,Niue,4,543,Oceania (exc. Australia and New Zealand),Country,-169.8601693,-19.05000475,NIU,0,1,ISCED11_1,Primary,,PT,Percentage,SE_INF_DSBL__ISCED11_1,education_level,2,2016,2019,"[2016, 2019]",,,,,,,,,,,,,,,,,100,,,100,,100,,C: Country data
26,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",570,Niue,4,543,Oceania (exc. Australia and New Zealand),Country,-169.8601693,-19.05000475,NIU,0,1,ISCED11_3,Upper secondary,,PT,Percentage,SE_INF_DSBL__ISCED11_3,education_level,2,2016,2019,"[2016, 2019]",,,,,,,,,,,,,,,,,100,,,100,,100,,C: Country data
27,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",570,Niue,4,543,Oceania (exc. Australia and New Zealand),Country,-169.8601693,-19.05000475,NIU,0,1,ISCED11_3,Upper secondary,,PT,Percentage,SE_INF_DSBL__ISCED11_3,education_level,2,2016,2019,"[2016, 2019]",,,,,,,,,,,,,,,,,100,,,100,,100,,C: Country data
28,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",604,Peru,4,5,South America,Country,-71.82093277,-13.58939705,PER,1,1,ISCED11_2,Lower secondary,,PT,Percentage,SE_INF_DSBL__ISCED11_2,education_level,4,2016,2019,"[2016, 2017, 2018, 2019]",,,,,,,,,,,,,,,,,27.66793,31.12343,44.96624,49.52925,,49.52925,,C: Country data
29,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",604,Peru,4,5,South America,Country,-71.82093277,-13.58939705,PER,1,1,ISCED11_1,Primary,,PT,Percentage,SE_INF_DSBL__ISCED11_1,education_level,4,2016,2019,"[2016, 2017, 2018, 2019]",,,,,,,,,,,,,,,,,16.23214,19.33824,30.08277,33.11318,,33.11318,,C: Country data
30,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",604,Peru,4,5,South America,Country,-71.82093277,-13.58939705,PER,1,1,ISCED11_3,Upper secondary,,PT,Percentage,SE_INF_DSBL__ISCED11_3,education_level,4,2016,2019,"[2016, 2017, 2018, 2019]",,,,,,,,,,,,,,,,,27.66793,31.12343,44.96624,49.52925,,49.52925,,C: Country data
31,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",608,Philippines,4,35,South-Eastern Asia,Country,120.8601418,14.16591706,PHL,1,1,ISCED11_2,Lower secondary,,PT,Percentage,SE_INF_DSBL__ISCED11_2,education_level,1,2019,2019,[2019],,,,,,,,,,,,,,,,,,,,16.77056,,16.77056,,C: Country data
32,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",608,Philippines,4,35,South-Eastern Asia,Country,120.8601418,14.16591706,PHL,1,1,ISCED11_1,Primary,,PT,Percentage,SE_INF_DSBL__ISCED11_1,education_level,1,2019,2019,[2019],,,,,,,,,,,,,,,,,,,,5.98271,,5.98271,,C: Country data
33,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",608,Philippines,4,35,South-Eastern Asia,Country,120.8601418,14.16591706,PHL,1,1,ISCED11_3,Upper secondary,,PT,Percentage,SE_INF_DSBL__ISCED11_3,education_level,1,2019,2019,[2019],,,,,,,,,,,,,,,,,,,,13.51443,,13.51443,,C: Country data
34,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",634,Qatar,4,145,Western Asia,Country,51.19152467,25.28355379,QAT,1,1,ISCED11_2,Lower secondary,,PT,Percentage,SE_INF_DSBL__ISCED11_2,education_level,3,2017,2019,"[2017, 2018, 2019]",,,,,,,,,,,,,,,,,,100,100,100,,100,,C: Country data
35,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",634,Qatar,4,145,Western Asia,Country,51.19152467,25.28355379,QAT,1,1,ISCED11_1,Primary,,PT,Percentage,SE_INF_DSBL__ISCED11_1,education_level,3,2017,2019,"[2017, 2018, 2019]",,,,,,,,,,,,,,,,,,100,100,100,,100,,C: Country data
36,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",634,Qatar,4,145,Western Asia,Country,51.19152467,25.28355379,QAT,1,1,ISCED11_3,Upper secondary,,PT,Percentage,SE_INF_DSBL__ISCED11_3,education_level,3,2017,2019,"[2017, 2018, 2019]",,,,,,,,,,,,,,,,,,100,100,100,,100,,C: Country data
