Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Education level,Reporting Type,Sex,Type of skill,Units,2000,2001,2003,2004,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,ISO3,latest_value,latest_value_year
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),8,Albania,LOWSEC,G,MALE,SKILL_MATH,PERCENT,32.79,,,,,,,30.93,,,38.99,,,44.62,,,55.9,,,ALB,55.9,2018
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),8,Albania,LOWSEC,G,MALE,SKILL_READ,PERCENT,19.4,,,,,,,30.95,,,44.8,,,,,,37.9,,,ALB,37.9,2018
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),8,Albania,PRIMAR,G,BOTHSEX,SKILL_MATH,PERCENT,,,,,,,,,,,,,,,,,,61.75,,ALB,61.75,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),8,Albania,PRIMAR,G,FEMALE,SKILL_MATH,PERCENT,,,,,,,,,,,,,,,,,,60.55,,ALB,60.55,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),8,Albania,PRIMAR,G,MALE,SKILL_MATH,PERCENT,,,,,,,,,,,,,,,,,,62.89,,ALB,62.89,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),12,Algeria,LOWSEC,G,BOTHSEX,SKILL_MATH,PERCENT,,,,,,,,,,,,,,19.04,,,,,,DZA,19.04,2015
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),12,Algeria,LOWSEC,G,BOTHSEX,SKILL_READ,PERCENT,,,,,,,,,,,,,,21.03,,,,,,DZA,21.03,2015
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),12,Algeria,LOWSEC,G,FEMALE,SKILL_MATH,PERCENT,,,,,,,,,,,,,,20.75,,,,,,DZA,20.75,2015
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),12,Algeria,LOWSEC,G,FEMALE,SKILL_READ,PERCENT,,,,,,,,,,,,,,27.68,,,,,,DZA,27.68,2015
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),12,Algeria,LOWSEC,G,MALE,SKILL_MATH,PERCENT,,,,,,,,,,,,,,17.51,,,,,,DZA,17.51,2015
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),12,Algeria,LOWSEC,G,MALE,SKILL_READ,PERCENT,,,,,,,,,,,,,,15.07,,,,,,DZA,15.07,2015
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),12,Algeria,PRIMAR,G,BOTHSEX,SKILL_MATH,PERCENT,,,,,,14.07,,,,,,,,,,,,,,DZA,14.07,2007
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),12,Algeria,PRIMAR,G,FEMALE,SKILL_MATH,PERCENT,,,,,,14.87,,,,,,,,,,,,,,DZA,14.87,2007
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),12,Algeria,PRIMAR,G,MALE,SKILL_MATH,PERCENT,,,,,,13.21,,,,,,,,,,,,,,DZA,13.21,2007
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),32,Argentina,GRAD23,G,BOTHSEX,SKILL_MATH,PERCENT,,,,,56.77,,,,,,,71.15,,,,,,51.08,,ARG,51.08,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),32,Argentina,GRAD23,G,BOTHSEX,SKILL_READ,PERCENT,,,,,71.73,,,,,,,76.32,,,,,,53.97,,ARG,53.97,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),32,Argentina,GRAD23,G,FEMALE,SKILL_MATH,PERCENT,,,,,57.44,,,,,,,73.77,,,,,,50.97,,ARG,50.97,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),32,Argentina,GRAD23,G,FEMALE,SKILL_READ,PERCENT,,,,,75.79,,,,,,,80,,,,,,57.9,,ARG,57.9,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),32,Argentina,GRAD23,G,MALE,SKILL_MATH,PERCENT,,,,,56.62,,,,,,,68.4,,,,,,51.15,,ARG,51.15,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),32,Argentina,GRAD23,G,MALE,SKILL_READ,PERCENT,,,,,69.28,,,,,,,72.49,,,,,,50.23,,ARG,50.23,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),32,Argentina,LOWSEC,G,BOTHSEX,SKILL_MATH,PERCENT,41.32,,,,35.86,,,36.45,,,33.52,,,,,,31.03,,,ARG,31.03,2018
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),32,Argentina,LOWSEC,G,BOTHSEX,SKILL_READ,PERCENT,56.09,,,,42.14,,,48.42,,,46.44,,,,,,47.88,,,ARG,47.88,2018
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),32,Argentina,LOWSEC,G,FEMALE,SKILL_MATH,PERCENT,42.52,,,,34,,,34.4,,,30.28,,,,,,27.21,,,ARG,27.21,2018
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),32,Argentina,LOWSEC,G,FEMALE,SKILL_READ,PERCENT,63.33,,,,50.18,,,54.69,,,54.11,,,,,,50.57,,,ARG,50.57,2018
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),32,Argentina,LOWSEC,G,MALE,SKILL_MATH,PERCENT,39.81,,,,37.94,,,38.81,,,36.95,,,,,,34.96,,,ARG,34.96,2018
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),32,Argentina,LOWSEC,G,MALE,SKILL_READ,PERCENT,46.73,,,,33.1,,,41.16,,,38.3,,,,,,45.12,,,ARG,45.12,2018
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),32,Argentina,PRIMAR,G,BOTHSEX,SKILL_MATH,PERCENT,,,,,48.59,,,,,,,55.6,,,,,,13.19,,ARG,13.19,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),32,Argentina,PRIMAR,G,BOTHSEX,SKILL_READ,PERCENT,,,,,44.7,,,,,,,46.42,,,,,,31.86,,ARG,31.86,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),32,Argentina,PRIMAR,G,FEMALE,SKILL_MATH,PERCENT,,,,,47.93,,,,,,,52.53,,,,,,12.13,,ARG,12.13,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),32,Argentina,PRIMAR,G,FEMALE,SKILL_READ,PERCENT,,,,,47.38,,,,,,,51.4,,,,,,34.63,,ARG,34.63,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),32,Argentina,PRIMAR,G,MALE,SKILL_MATH,PERCENT,,,,,50.83,,,,,,,58.63,,,,,,14.3,,ARG,14.3,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),32,Argentina,PRIMAR,G,MALE,SKILL_READ,PERCENT,,,,,42.09,,,,,,,41.37,,,,,,28.97,,ARG,28.97,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),51,Armenia,LOWSEC,G,BOTHSEX,SKILL_MATH,PERCENT,,,53.97,,,63.49,,,,49.02,,,,50.41,,,,,,ARM,50.41,2015
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),51,Armenia,LOWSEC,G,FEMALE,SKILL_MATH,PERCENT,,,56.27,,,63.81,,,,51.41,,,,51.8,,,,,,ARM,51.8,2015
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),51,Armenia,LOWSEC,G,MALE,SKILL_MATH,PERCENT,,,51.36,,,62.95,,,,46.72,,,,48.27,,,,,,ARM,48.27,2015
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),51,Armenia,PRIMAR,G,BOTHSEX,SKILL_MATH,PERCENT,,,42.75,,,60,,,,40.92,,,,54.56,,,,64.34,,ARM,64.34,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),51,Armenia,PRIMAR,G,FEMALE,SKILL_MATH,PERCENT,,,45.11,,,62.01,,,,41.07,,,,55.84,,,,65.75,,ARM,65.75,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),51,Armenia,PRIMAR,G,MALE,SKILL_MATH,PERCENT,,,40.5,,,58.11,,,,40.85,,,,53.35,,,,63.03,,ARM,63.03,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),36,Australia,GRAD23,G,BOTHSEX,SKILL_MATH,PERCENT,,,63.75,,,70.52,,,,70.18,,,,70.23,,,,69.57,,AUS,69.57,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),36,Australia,GRAD23,G,BOTHSEX,SKILL_READ,PERCENT,,,,,,,,,,92.93,,,,,94.49,,,,,AUS,94.49,2016
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),36,Australia,GRAD23,G,FEMALE,SKILL_MATH,PERCENT,,,63.08,,,69.66,,,,69.12,,,,69.29,,,,69.05,,AUS,69.05,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),36,Australia,GRAD23,G,FEMALE,SKILL_READ,PERCENT,,,,,,,,,,94.87,,,,,96.23,,,,,AUS,96.23,2016
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),36,Australia,GRAD23,G,MALE,SKILL_MATH,PERCENT,,,64.38,,,71.64,,,,71.21,,,,71.12,,,,70.18,,AUS,70.18,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),36,Australia,GRAD23,G,MALE,SKILL_READ,PERCENT,,,,,,,,,,91.06,,,,,92.94,,,,,AUS,92.94,2016
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),36,Australia,LOWSEC,G,BOTHSEX,SKILL_MATH,PERCENT,89.67,,85.66,,87.03,,,84.13,,,80.33,,,78.03,,,77.57,,,AUS,77.57,2018
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),36,Australia,LOWSEC,G,BOTHSEX,SKILL_READ,PERCENT,87.54,,88.16,,86.6,,,85.75,,,85.81,,,81.93,,,80.37,,,AUS,80.37,2018
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),36,Australia,LOWSEC,G,FEMALE,SKILL_MATH,PERCENT,88.85,,86.24,,86.39,,,83.69,,,78.85,,,78.12,,,77.34,,,AUS,77.34,2018
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),36,Australia,LOWSEC,G,FEMALE,SKILL_READ,PERCENT,91.64,,92.94,,91.81,,,90.93,,,90.93,,,86.71,,,85.26,,,AUS,85.26,2018
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),36,Australia,LOWSEC,G,MALE,SKILL_MATH,PERCENT,90.69,,85.09,,87.65,,,84.59,,,81.73,,,77.93,,,77.78,,,AUS,77.78,2018
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),36,Australia,LOWSEC,G,MALE,SKILL_READ,PERCENT,84.02,,83.53,,81.63,,,80.34,,,80.98,,,77.23,,,75.65,,,AUS,75.65,2018
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),36,Australia,PRIMAR,G,BOTHSEX,SKILL_MATH,PERCENT,,,64.86,,,60.79,,,,62.94,,,,64.43,,,,67.95,,AUS,67.95,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),36,Australia,PRIMAR,G,FEMALE,SKILL_MATH,PERCENT,,,62.66,,,57.29,,,,61.6,,,,63.93,,,,68.57,,AUS,68.57,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),36,Australia,PRIMAR,G,MALE,SKILL_MATH,PERCENT,,,68.1,,,64.51,,,,64.27,,,,65.68,,,,67.67,,AUS,67.67,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),40,Austria,LOWSEC,G,BOTHSEX,SKILL_MATH,PERCENT,84.44,,81.23,,80,,,76.76,,,81.35,,,78.25,,,78.92,,,AUT,78.92,2018
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),40,Austria,LOWSEC,G,BOTHSEX,SKILL_READ,PERCENT,85.39,,79.3,,78.48,,,72.42,,,80.51,,,77.46,,,76.38,,,AUT,76.38,2018
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),40,Austria,LOWSEC,G,FEMALE,SKILL_MATH,PERCENT,82.61,,81.63,,77.27,,,74.94,,,78.81,,,75.23,,,78.34,,,AUT,78.34,2018
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),40,Austria,LOWSEC,G,FEMALE,SKILL_READ,PERCENT,88.91,,86.86,,84.63,,,79.74,,,87.21,,,80.75,,,81.69,,,AUT,81.69,2018
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),40,Austria,LOWSEC,G,MALE,SKILL_MATH,PERCENT,87.17,,80.83,,82.63,,,78.65,,,83.89,,,81.21,,,79.49,,,AUT,79.49,2018
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),40,Austria,LOWSEC,G,MALE,SKILL_READ,PERCENT,82.22,,71.76,,72.57,,,64.82,,,73.77,,,74.23,,,71.22,,,AUT,71.22,2018
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),40,Austria,PRIMAR,G,BOTHSEX,SKILL_MATH,PERCENT,,,,,,,,,,,,,,,,,,83.55,,AUT,83.55,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),40,Austria,PRIMAR,G,BOTHSEX,SKILL_READ,PERCENT,,,,,97.62,,,,,97.1,,,,,97.59,,,,,AUT,97.59,2016
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),40,Austria,PRIMAR,G,FEMALE,SKILL_MATH,PERCENT,,,,,,,,,,,,,,,,,,83.19,,AUT,83.19,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),40,Austria,PRIMAR,G,FEMALE,SKILL_READ,PERCENT,,,,,98.4,,,,,97.73,,,,,98.09,,,,,AUT,98.09,2016
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),40,Austria,PRIMAR,G,MALE,SKILL_MATH,PERCENT,,,,,,,,,,,,,,,,,,83.93,,AUT,83.93,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),40,Austria,PRIMAR,G,MALE,SKILL_READ,PERCENT,,,,,96.86,,,,,96.51,,,,,97.11,,,,,AUT,97.11,2016
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),31,Azerbaijan,LOWSEC,G,BOTHSEX,SKILL_MATH,PERCENT,,,,,89.46,,,54.73,,,,,,,,,,,,AZE,54.73,2009
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),31,Azerbaijan,LOWSEC,G,BOTHSEX,SKILL_READ,PERCENT,,,,,20.58,,,27.21,,,,,,,,,,,,AZE,27.21,2009
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),31,Azerbaijan,LOWSEC,G,FEMALE,SKILL_MATH,PERCENT,,,,,89.81,,,51.39,,,,,,,,,,,,AZE,51.39,2009
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),31,Azerbaijan,LOWSEC,G,FEMALE,SKILL_READ,PERCENT,,,,,24.88,,,32.16,,,,,,,,,,,,AZE,32.16,2009
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),31,Azerbaijan,LOWSEC,G,MALE,SKILL_MATH,PERCENT,,,,,89.15,,,57.9,,,,,,,,,,,,AZE,57.9,2009
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),31,Azerbaijan,LOWSEC,G,MALE,SKILL_READ,PERCENT,,,,,16.64,,,22.49,,,,,,,,,,,,AZE,22.49,2009
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),31,Azerbaijan,PRIMAR,G,BOTHSEX,SKILL_MATH,PERCENT,,,,,,,,,,,,,,,,,,73.35,,AZE,73.35,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),31,Azerbaijan,PRIMAR,G,BOTHSEX,SKILL_READ,PERCENT,,,,,,,,,,81.86,,,,,80.79,,,,,AZE,80.79,2016
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),31,Azerbaijan,PRIMAR,G,FEMALE,SKILL_MATH,PERCENT,,,,,,,,,,,,,,,,,,74.17,,AZE,74.17,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),31,Azerbaijan,PRIMAR,G,FEMALE,SKILL_READ,PERCENT,,,,,,,,,,84.09,,,,,83.54,,,,,AZE,83.54,2016
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),31,Azerbaijan,PRIMAR,G,MALE,SKILL_MATH,PERCENT,,,,,,,,,,,,,,,,,,72.53,,AZE,72.53,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),31,Azerbaijan,PRIMAR,G,MALE,SKILL_READ,PERCENT,,,,,,,,,,79.87,,,,,78.5,,,,,AZE,78.5,2016
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),48,Bahrain,LOWSEC,G,BOTHSEX,SKILL_MATH,PERCENT,,,17.13,,,18.77,,,,26.19,,,,39.47,,,,55.25,,,55.25,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),48,Bahrain,LOWSEC,G,FEMALE,SKILL_MATH,PERCENT,,,20.83,,,21.06,,,,30.51,,,,43.18,,,,59.35,,,59.35,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),48,Bahrain,LOWSEC,G,MALE,SKILL_MATH,PERCENT,,,13.4,,,16.61,,,,21.93,,,,36.05,,,,51.31,,,51.31,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),48,Bahrain,PRIMAR,G,BOTHSEX,SKILL_MATH,PERCENT,,,,,,,,,,33.83,,,,39.93,,,,54.18,,,54.18,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),48,Bahrain,PRIMAR,G,BOTHSEX,SKILL_READ,PERCENT,,,,,,,,,,,,,,,69.37,,,,,,69.37,2016
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),48,Bahrain,PRIMAR,G,FEMALE,SKILL_MATH,PERCENT,,,,,,,,,,33.43,,,,42.62,,,,55.33,,,55.33,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),48,Bahrain,PRIMAR,G,FEMALE,SKILL_READ,PERCENT,,,,,,,,,,,,,,,78.99,,,,,,78.99,2016
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),48,Bahrain,PRIMAR,G,MALE,SKILL_MATH,PERCENT,,,,,,,,,,34.24,,,,37.27,,,,53.08,,,53.08,2019
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),48,Bahrain,PRIMAR,G,MALE,SKILL_READ,PERCENT,,,,,,,,,,,,,,,59.83,,,,,,59.83,2016
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),50,Bangladesh,GRAD23,G,BOTHSEX,SKILL_MATH,PERCENT,,,,,,,,,,,,,,,,67.4,,,,BGD,67.4,2017
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),50,Bangladesh,GRAD23,G,BOTHSEX,SKILL_READ,PERCENT,,,,,,,,,,,,,,,,77.8,,,,BGD,77.8,2017
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),50,Bangladesh,LOWSEC,G,BOTHSEX,SKILL_MATH,PERCENT,,,,,,,,,,,,35,,57,,,,,,BGD,57,2015
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),50,Bangladesh,LOWSEC,G,BOTHSEX,SKILL_READ,PERCENT,,,,,,,,,,,,49,,54,,,,,,BGD,54,2015
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),50,Bangladesh,LOWSEC,G,FEMALE,SKILL_MATH,PERCENT,,,,,,,,,,,,29,,52,,,,,,BGD,52,2015
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),50,Bangladesh,LOWSEC,G,FEMALE,SKILL_READ,PERCENT,,,,,,,,,,,,50,,54,,,,,,BGD,54,2015
